date,drop_usd,drop_tx,market_veve_usd,market_veve_tx,market_stackr_usd,market_stackr_tx,transfers,admin_tx,other_usd,other_tx,outlier_usd,outlier_tx
2026-06-27,13574.59,484,8263.46,491,13278.56,292,292,65,2899.94,144,0.0,0
2026-06-28,9574.98,219,11246.98,676,14403.83,159,159,55,437.72,21,0.0,0
2026-06-29,57104.04,416,16348.2,427,12704.3,196,196,83,2151.22,20,0.0,0
2026-06-30,53729.2,821,12742.89,344,15101.3,270,271,86,409.85,17,0.0,0
2026-07-01,4268.57,314,26520.22,386,13373.61,234,234,111,3441.33,15,0.0,0
2026-07-02,6633.53,507,11202.07,428,23593.74,110,112,62,229.93,8,1077777.0,2
2026-07-03,3431.8,211,12120.74,504,12062.89,166,166,56,343.07,10,0.0,0
2026-07-04,71223.82,1484,16374.32,841,18625.65,301,301,63,340.91,25,0.0,0
2026-07-05,20916.39,395,11662.12,579,15759.92,189,189,179,1083.0,4,0.0,0
2026-07-06,9491.35,458,20012.84,1202,25422.52,245,245,85,291.87,9,111111111111.0,1
2026-07-07,10456.95,560,9276.96,467,9351.1,198,198,73,49.98,3,0.0,0
2026-07-08,9573.08,455,10161.75,405,6861.01,148,148,102,1699.99,11,1000000.0,1
2026-07-09,44921.6,1303,26077.52,865,27095.82,210,210,69,722.68,6,166665.0,3
2026-07-10,3661.8,230,12776.86,548,11739.0,194,194,63,149.24,8,0.0,0
2026-07-11,15507.66,373,10333.8,463,11943.23,132,133,86,3.99,1,300000.0,3
2026-07-12,1060.98,106,3661.17,218,1797.7,60,61,26,111.0,1,0.0,0
